Titles	Genres
Toy Story (1995)[(8, 0.996999979019165)]	animation
Jumanji (1995)[(6, 0.9860000014305115), (0, 0.0020000000949949026), (1, 0.0020000000949949026), (3, 0.0020000000949949026), (5, 0.0020000000949949026)]	fantasy
Grumpier Old Men (1995)[(5, 0.9959999918937683)]	comedy
Heat (1995)[(8, 0.996999979019165)]	action
Sabrina (1995)[(3, 0.9850000143051147), (0, 0.0020000000949949026), (1, 0.0020000000949949026), (2, 0.0020000000949949026), (4, 0.0020000000949949026)]	romance
Sudden Death (1995)[(3, 0.9890000224113464), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (4, 0.0010000000474974513)]	action
GoldenEye (1995)[(1, 0.6729999780654907), (7, 0.3179999887943268), (0, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	action
Cutthroat Island (1995)[(1, 0.9940000176429749), (0, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513), (4, 0.0010000000474974513)]	action
Sense and Sensibility (1995)[(9, 0.699999988079071), (5, 0.29600000381469727), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513)]	romance
Four Rooms (1995)[(9, 0.996999979019165)]	comedy
Ace Ventura: When Nature Calls (1995)[(8, 0.8069999814033508), (5, 0.1860000044107437), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513)]	comedy
City of Lost Children, The (Cité des enfants perdus, La) (1995)[(3, 0.9940000176429749), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (4, 0.0010000000474974513)]	sci-fi
Twelve Monkeys (a.k.a. 12 Monkeys) (1995)[(0, 0.9890000224113464), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513), (4, 0.0010000000474974513)]	sci-fi
Babe (1995)[(6, 0.9940000176429749), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	fantasy
Clueless (1995)[(0, 0.9850000143051147), (1, 0.0020000000949949026), (2, 0.0020000000949949026), (3, 0.0020000000949949026), (4, 0.0020000000949949026)]	romance
Mortal Kombat (1995)[(9, 0.9940000176429749), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	action
Pocahontas (1995)[(0, 0.996999979019165)]	animation
Usual Suspects, The (1995)[(6, 0.9950000047683716), (0, 0.0010000000474974513), (1, 0.0010000000474974513), (2, 0.0010000000474974513), (3, 0.0010000000474974513)]	comedy
